,GeneID,TValue,PValue,Coefficient,sig.cnt,GeneID,AlzheimersPValue,AsthmaPValue,CADPValue,CKDPValue,CLDPValue,COPDPValue,EthnicityPValue,HIVPValue,HypPValue,LupusPValue,ObesePValue,ONDPValue,RAPValue,T2DPValue,AlzheimersFC,AsthmaFC,CADFC,CKDFC,CLDFC,COPDFC,EthnicityFC,HIVFC,HypFC,LupusFC,ObeseFC,ONDFC,RAFC,T2DFC,AdjP
7878,GAS5,-5.121279416,0.002175505,-0.902121729,5,GAS5,NA,1,NA,1.45985E-16,1,0.00035326,NA,NA,NA,NA,1,0.014512914,3.43366E-05,0.000758728,NA,1,NA,0.84679676,1,0.970258651,NA,NA,NA,NA,1,0.79554075,1.072214493,0.932917425,0.399260802
7228,FBXW7,-3.87740073,0.002198205,-0.745733467,5,FBXW7,1,1,1,6.03282E-11,1,1,0.021582099,0.003145588,1,1,1,0.034735518,0.003916275,1,1,1,1,0.774043796,1,1,1.164900359,0.978602071,1,1,1,0.741118744,1.024849412,1,0.399260802
15255,MTO1,-3.875879496,0.002204272,-0.745603556,6,MTO1,0.004408701,1,1,5.47708E-16,0.015481941,1,1,1,1,1,0.016232183,0.045142917,1,0.030610155,0.990269804,1,1,0.798912736,0.960758022,1,1,1,1,1,0.974590369,0.761769912,1,0.975424646,0.399260802
6787,FAM149B1,-4.082128591,0.002206833,-0.790543683,5,FAM149B1,NA,1,1,7.63749E-06,0.007693354,NA,1,0.032834135,1,1,1,0.000857748,4.57062E-05,1,NA,1,1,0.920682535,0.921569737,NA,1,0.99105736,1,1,1,0.904786376,1.049136014,1,0.399260802
19146,RAB7A,-3.871483226,0.002221901,-0.745227641,5,RAB7A,1,1,1,9.31785E-21,1,1,1,5.60433E-07,1,1,1,0.043350743,0.001737258,0.039246182,1,1,1,0.85644362,1,1,1,0.973016178,1,1,1,0.842413988,1.013135153,1.015624774,0.399260802
20361,SART1,3.862688461,0.002257605,0.744473483,6,SART1,0.027036008,1,1,3.16211E-17,1,0.027993927,1,0.005358124,1,1,1,0.034884333,2.24433E-05,1,1.003393647,1,1,1.222965383,1,0.990873439,1,1.004699216,1,1,1,1.168748737,0.978331132,1,0.399260802
10165,ITIH3,3.930672827,0.002349358,0.764280022,5,ITIH3,1,1,1,2.87642E-05,0.03173756,NA,1,0.000378942,1,1,1,0.023789421,0.047997982,1,1,1,1,1.07944091,1.032564825,NA,1,1.007859491,1,1,1,1.026694045,0.977760746,1,0.399260802
20590,SEC62,-3.828116564,0.002403776,-0.741481082,5,SEC62,1,1,1,2.40729E-07,7.60227E-10,1,1,1,1,1,0.010105205,0.000585873,2.00885E-07,1,1,1,1,0.795684244,0.835911615,1,1,1,1,1,1.01385998,0.833436503,1.063439794,1,0.399260802
7226,FBXW7,-3.812310673,0.002473812,-0.740098074,4,FBXW7,1,1,1,6.03282E-11,1,1,1,0.003145588,1,1,1,0.034735518,0.003916275,1,1,1,1,0.774043796,1,1,1,0.978602071,1,1,1,0.741118744,1.024849412,1,0.399260802
13719,MAPK6,-3.811874964,0.002475772,-0.740059816,4,MAPK6,0.003592994,1,1,3.07616E-06,1,1,1,1,1,1,1,0.03854366,9.76972E-05,1,0.991254557,1,1,0.891245934,1,1,1,1,1,1,1,0.956541524,1.047249889,1,0.399260802
14893,MOAP1,-3.792174469,0.002566083,-0.738322462,4,MOAP1,1,1,1,6.7049E-17,1,1,1,0.00983038,1,1,0.01612661,0.026516029,1,1,1,1,1,0.837838661,1,1,1,0.987130017,1,1,0.974199829,0.872830665,1,1,0.399260802
14182,MINDY3,-3.973250419,0.002629489,-0.782434326,7,MINDY3,0.043382791,1,1,2.14665E-06,0.003797325,NA,0.049074247,2.42705E-07,NA,1,1,0.01721465,3.86517E-07,1,0.993876363,1,1,0.863666273,0.953412831,NA,1.094097161,1.024235297,NA,1,1,0.841783764,1.071309594,1,0.399260802
13409,LSM14A,-3.777227896,0.002636854,-0.736994465,5,LSM14A,4.7318E-06,1,1,5.41584E-08,1,1,1,0.000683999,1,1,1,0.002364285,1,0.016668595,0.980063277,1,1,0.877458031,1,1,1,0.989704713,1,1,1,0.825512758,1,0.984159631,0.399260802
839,AMY1A,-3.848475763,0.002706613,-0.757509897,4,AMY1A,NA,1,1,1.01333E-13,4.75245E-05,1,1,0.004635288,1,1,1,0.010582588,1,1,NA,1,1,0.757207009,0.757189979,1,1,0.995386067,1,1,1,0.735210077,1,1,0.399260802
25405,WDR74,3.745849985,0.002792018,0.734178536,5,WDR74,1,1,1,2.39804E-09,1,0.000789468,1,8.65018E-10,1,1,1,0.003219333,0.006996657,1,1,1,1,1.132766735,1,0.981187519,1,1.032581886,1,1,1,1.184986086,0.98676004,1,0.399260802
16215,NRIP1,-3.738242217,0.00283103,-0.733490033,4,NRIP1,1,1,1,1.37577E-08,0.005255464,1,1,1,1,1,1,0.010387137,0.010239381,1,1,1,1,0.807919811,0.947344595,1,1,1,1,1,1,0.747402475,1.027124247,1,0.399260802
24637,TUBE1,-3.813447877,0.002875554,-0.754548385,6,TUBE1,1,1,NA,8.96134E-09,2.85206E-06,0.016469568,1,3.1278E-08,1,1,1,0.015001137,0.011365727,1,1,1,NA,0.698825045,0.837895762,0.970415146,1,1.010664276,1,1,1,0.760758458,1.054800952,1,0.399260802
10735,KLK4,3.912587167,0.002901066,0.777736015,5,KLK4,1,1,NA,1.95903E-14,0.023712587,NA,1,1,1,1,1,0.01846384,0.012827875,0.001443044,1,1,NA,1.131801153,1.057200971,NA,1,1,1,1,1,1.136369637,0.986645476,1.057027181,0.399260802
15865,NFU1,-3.720824518,0.002922465,-0.731905189,6,NFU1,3.72199E-08,1,1,1.54297E-06,0.000434809,1,1,5.2793E-06,1,1,1,0.036590503,1.76614E-08,1,0.978861581,1,1,0.866712588,1.043372744,1,1,0.983949003,1,1,1,0.885484781,1.072461427,1,0.399260802
5409,DENND4A,-3.719767149,0.002928113,-0.731808594,5,DENND4A,1,1,1,8.62796E-08,1,1,1,8.77238E-07,1,0.002471834,1,0.002887191,0.009526197,1,1,1,1,0.666428028,1,1,1,1.025472599,1,1.068381151,1,0.83036284,1.041382187,1,0.399260802
20011,RPL38,3.719740499,0.002928255,0.731806159,5,RPL38,1,1,1,1.17657E-16,3.48524E-07,0.001672283,1,1.00788E-06,1,1,1,0.002215092,1,1,1,1,1,1.128866828,1.037717138,0.997410248,1,0.996079007,1,1,1,1.137600253,1,1,0.399260802
19925,RPAIN,-3.717366493,0.002940976,-0.731589121,7,RPAIN,1.38916E-12,1,1,9.95653E-14,1,1,0.003788672,1.61804E-06,1,1,1,0.018126915,0.000406771,0.012699377,0.965104953,1,1,0.774591384,1,1,1.198660938,0.971839609,1,1,1,0.799212246,0.963308727,0.945576223,0.399260802
13953,MED30,-3.799434055,0.002946168,-0.753350484,7,MED30,0.013477868,1,NA,4.47614E-12,0.000809671,1,1,0.002816564,1,1,1,4.22129E-05,1.60695E-13,0.011725763,0.99162622,1,NA,0.878202976,0.883900356,1,1,0.988040649,1,1,1,0.808610642,1.054689423,0.967634048,0.399260802
26061,ZNF33A,-3.891570135,0.003001877,-0.77607721,6,ZNF33A,0.010978642,1,NA,9.8932E-11,0.004391509,1,1,0.003824977,NA,1,1,0.039362748,0.00054017,1,0.99485853,1,NA,0.870533883,0.938545568,1,1,1.005220064,NA,1,1,0.880001033,1.022526016,1,0.399260802
9309,HNRNPH3,-3.705944611,0.003002975,-0.730541784,8,HNRNPH3,0.043252516,1,1,5.91258E-10,0.000132347,1,0.020445806,3.87343E-12,1,1,0.024017294,0.000294545,0.000162309,1,0.989729625,1,1,0.819996611,0.950033761,1,1.1457006,1.015993801,1,1,0.991996797,0.756607178,1.034872151,1,0.399260802
2293,C11orf95,3.788343116,0.003003325,0.752397083,4,C11orf95,1,1,1,0.000181603,1,NA,1,0.004471766,1,1,1,0.020649774,0.000601131,1,1,1,1,1.051303769,1,NA,1,1.005778845,1,1,1,1.06179402,0.972943003,1,0.399260802
19443,RCN3,3.771850728,0.003090449,0.750970568,5,RCN3,0.001054319,1,1,5.43752E-15,0.0400236,NA,1,1,1,1,1,0.023314371,1,0.029610483,1.008735291,1,1,1.11123102,1.102953922,NA,1,1,1,1,1,1.133884298,1,1.037620808,0.399260802
18428,PPWD1,-3.687455456,0.003106188,-0.728835417,5,PPWD1,2.60241E-08,1,1,4.46253E-11,1,1,1,7.10589E-09,1,1,1,0.036867353,0.011496806,1,0.980250138,1,1,0.765107573,1,1,1,1.022138092,1,1,1,0.802716756,1.033273123,1,0.399260802
26192,ZNF529,-3.669611358,0.003209248,-0.727175601,5,ZNF529,0.040200528,1,1,1.45848E-17,1,0.00866392,1,1,1,1,0.047116551,0.016127826,1,1,0.993629737,1,1,0.735936634,1,0.973024514,1,1,1,1,0.978479271,0.775598475,1,1,0.399260802
4786,CSPP1,-3.655680989,0.003292132,-0.725870903,7,CSPP1,0.036536186,1,1,5.49734E-09,1,1,1,2.86011E-05,0.042266826,1,0.0157459,0.002547541,0.000119913,1,0.995951258,1,1,0.679139037,1,1,1,1.008409025,1.289141089,1,0.940410863,0.625636878,0.961009449,1,0.399260802
20391,SC5D,-3.654691968,0.003298099,-0.725777974,6,SC5D,0.008852631,1,1,0.001427028,0.000226471,1,1,0.000294471,1,1,1,0.007576406,5.96927E-07,1,0.992084086,1,1,0.911407787,0.904841926,1,1,0.98078265,1,1,1,0.837497114,1.094299272,1,0.399260802
1950,BEGAIN,3.721725814,0.003371639,0.746569625,4,BEGAIN,0.035200115,1,1,0.002291495,1,NA,1,6.35836E-07,1,1,1,0.042360297,1,1,1.00274617,1,1,1.058889368,1,NA,1,1.026376548,1,1,1,1.093029151,1,1,0.399260802
4947,CUTC,-3.632505405,0.00343491,-0.723682823,7,CUTC,1.04762E-07,1,1,2.59568E-07,1.50088E-05,1,0.014152723,0.000614363,1,1,1,0.007871708,3.04844E-08,1,0.979511667,1,1,0.907925458,0.904785217,1,1.141278748,0.98215617,1,1,1,0.880197965,1.043967024,1,0.399260802
18769,PSMA2,-3.63020893,0.003449398,-0.723464809,5,PSMA2,7.68109E-09,1,1,0.002889068,0.000620714,1,1,1,1,1,1,0.003945087,7.83166E-12,1,0.97766502,1,1,0.92394893,0.928775412,1,1,1,1,1,1,0.879988837,1.089364842,1,0.399260802
18632,PRPS1,-3.61719006,0.003532724,-0.72222477,7,PRPS1,0.000984958,1,1,7.32109E-09,0.000651322,0.006783324,1,0.049865362,1,1,1,0.049228435,1,0.010202573,0.991072813,1,1,0.934253932,0.922639771,0.986778089,1,0.994694144,1,1,1,0.879501234,1,0.973872801,0.399260802
2274,C11orf54,-3.694187196,0.003537249,-0.744109242,6,C11orf54,1,1,NA,2.94658E-09,0.000570536,1,1,0.01375192,1,1,0.039934058,0.00602794,1.08737E-08,1,1,1,NA,0.886097581,0.941451333,1,1,0.992165231,1,1,0.972717239,0.843620607,1.07198987,1,0.399260802
18294,PPIA,3.586713124,0.003735928,0.719294402,9,PPIA,2.79016E-08,0.033417166,1,1.14092E-11,6.30084E-08,0.001453837,1,9.69005E-19,1,1,1,0.000479032,9.37899E-10,0.008424257,0.954336666,0.961550499,1,1.140345844,1.0706194,0.985870255,1,1.115486342,1,1,1,1.116579621,1.017686249,0.993891225,0.399260802
9009,HELQ,-3.656551575,0.003777265,-0.740697105,7,HELQ,0.007331806,1,NA,4.33975E-11,2.3646E-05,0.039718014,1,0.004003811,1,1,1,0.032391707,1.26022E-05,1,0.992613195,1,NA,0.824346206,0.895987787,0.983591087,1,1.008146872,1,1,1,0.910008451,1.053945107,1,0.399260802
25754,ZCCHC2,-3.578723532,0.003791148,-0.718519785,5,ZCCHC2,1,1,1,1.06867E-05,0.006558267,1,1,2.98502E-14,1,1,1,0.007280139,0.008651401,1,1,1,1,0.875326954,0.90632212,1,1,1.015353853,1,1,1,0.850357654,1.057828738,1,0.399260802
20345,SAP18,-3.576898239,0.00380388,-0.718342441,7,SAP18,7.08442E-05,0.047607161,1,5.71894E-07,6.10238E-06,1,1,1.28999E-05,1,1,1,0.011383127,0.004555967,1,0.991094065,0.994782343,1,0.904798045,1.029696343,1,1,0.971846113,1,1,1,0.872132157,1.020009621,1,0.399260802
6037,EBLN3P,-4.568061897,0.00381828,-0.881294096,5,EBLN3P,NA,1,NA,9.00851E-13,0.012028988,1,NA,NA,NA,NA,0.031234663,0.000639749,0.000779571,1,NA,1,NA,0.744940745,0.9645511,1,NA,NA,NA,NA,0.966720492,0.810160189,0.980717415,1,0.399260802
21603,SMIM4,3.86266161,0.003831458,0.789777344,5,SMIM4,NA,1,NA,2.12874E-14,0.029731553,NA,1,1.24684E-08,1,1,1,0.008354426,0.013136145,1,NA,1,NA,1.200211107,1.043506194,NA,1,1.010102302,1,1,1,1.205038992,1.020620572,1,0.399260802
15671,NDFIP1,-3.565825583,0.003882056,-0.717263621,5,NDFIP1,1,1,1,2.66458E-17,0.00021764,1,1,1,1,1,0.024638518,0.008197506,0.001671573,1,1,1,1,0.809798919,0.939738103,1,1,1,1,1,0.96544113,0.730956724,1.016777489,1,0.399260802
1195,ARFGAP2,3.552766995,0.003976364,0.715984647,5,ARFGAP2,1,1,1,2.00427E-14,1,0.018454498,1,0.005284043,1,1,1,0.026207002,1.70808E-05,1,1,1,1,1.204693532,1,0.988050556,1,0.990998071,1,1,1,1.128936821,0.982908699,1,0.399260802
15509,NACC1,3.622499345,0.004008896,0.737559641,4,NACC1,1,1,NA,4.61652E-20,0.026865775,1,1,0.036534769,1,1,1,0.018442647,1,1,1,1,NA,1.159442134,1.047775477,1,1,1.004869624,1,1,1,1.182911078,1,1,0.399260802
13506,LYSMD4,-3.544390184,0.004038088,-0.715160398,6,LYSMD4,1,1,1,3.48893E-08,4.50828E-06,0.024303941,1,4.90997E-05,1,1,1,0.026804627,0.00133992,1,1,1,1,0.896968746,0.928341585,1.012684998,1,0.985171287,1,1,1,0.809680968,1.020269163,1,0.399260802
5407,DENND2D,-3.541046848,0.004062996,-0.71483059,7,DENND2D,1,1,1,3.73867E-13,1,0.014978691,1,0.030090297,1,1,0.008356614,0.030576052,0.000396647,0.019451305,1,1,1,0.823958191,1,0.977409694,1,0.987987325,1,1,0.989936037,0.784345909,0.978869443,0.96963161,0.399260802
26036,ZNF302,-3.534307818,0.004113678,-0.714164356,6,ZNF302,8.48675E-08,1,1,0.001229395,1,0.013358764,1,1,1,0.037663679,1,0.011333222,1.43347E-05,1,0.970068591,1,1,0.910856308,1,0.973276333,1,1,1,1.055386496,1,0.809180164,1.117391185,1,0.399260802
6418,EPHA10,3.696708578,0.004130864,0.759899147,4,EPHA10,1,1,NA,0.000309594,1,NA,1,1.49031E-10,1,1,1,0.049839286,0.020730512,1,1,1,NA,1.053326673,1,NA,1,1.022041936,1,1,1,1.080668258,0.98310228,1,0.399260802
18824,PSMG1,-3.530941686,0.004139235,-0.713830845,5,PSMG1,1.23115E-05,1,1,4.23896E-07,1,1,1,1.79344E-08,1,1,1,0.010526509,0.000188413,1,0.989079351,1,1,0.866680777,1,1,1,1.022320863,1,1,1,0.866955013,1.049641938,1,0.399260802
19937,RPGR,-3.517516093,0.004242786,-0.712495813,6,RPGR,0.000300266,1,1,0.00016692,1,0.016291196,1,8.71732E-06,1,1,1,0.040680523,0.000373554,1,0.994048121,1,1,0.877701689,1,1.025564185,1,1.013650763,1,1,1,0.871769868,1.069220186,1,0.399260802
26010,ZNF273,-3.516042595,0.004254311,-0.712348816,5,ZNF273,1,1,1,5.72659E-05,1,0.039987023,1,1.76008E-05,1,1,1,0.001996855,0.001017827,1,1,1,1,0.88681871,1,0.970674777,1,1.008653174,1,1,1,0.875824698,1.035520978,1,0.399260802
24098,TPD52,-3.502924175,0.004358332,-0.711035974,4,TPD52,0.002199435,1,1,1.28315E-09,1,1,1,1,1,0.010060161,1,0.000711873,1,1,0.992487186,1,1,0.800398428,1,1,1,1,1,1.075096167,1,0.700267801,1,1,0.399260802
24487,TSPYL4,-3.502770548,0.004359565,-0.711020555,4,TSPYL4,1,1,1,7.15651E-15,2.95134E-05,1,1,1,1,1,0.044090283,0.0054037,1,1,1,1,1,0.831933717,0.857393625,1,1,1,1,1,0.976574726,0.7902376,1,1,0.399260802
2069,BNIP3,-3.569712883,0.004397276,-0.732599911,6,BNIP3,1.09985E-05,1,1,4.75083E-08,0.000813514,0.005045645,1,1,NA,1,1,0.010171771,0.037731351,1,0.984641102,1,1,0.853328843,0.971110431,0.975716147,1,1,NA,1,1,0.771444932,1.01994886,1,0.399260802
24919,UMPS,3.496950465,0.004406554,0.710435672,5,UMPS,1,1,1,2.35082E-10,0.00027453,1,1,0.002116768,1,1,1,0.000286735,0.003341326,1,1,1,1,1.166928712,1.078164323,1,1,0.995144885,1,1,1,1.187803746,1.023973042,1,0.399260802
485,ADK,-3.496753094,0.004408157,-0.710415812,6,ADK,0.000729042,0.020677305,1,1.49464E-08,0.001385927,1,0.039708695,1,1,1,1,0.000301559,1,1,0.988576546,0.984218216,1,0.765980188,0.873275586,1,1.159162857,1,1,1,1,0.593226048,1,1,0.399260802
15696,NDUFA5,-3.566095281,0.004425271,-0.732255665,5,NDUFA5,NA,1,1,2.99803E-06,0.021762445,1,1,8.59956E-05,1,1,1,0.000680923,4.02934E-06,1,NA,1,1,0.871104249,0.974356255,1,1,1.008039428,1,1,1,0.820510499,1.131644327,1,0.399260802
8920,HBP1,-3.488081968,0.004479149,-0.709541603,8,HBP1,0.031800865,1,0.028651809,0.000908149,0.030346151,1,0.023413904,1,1,1,1,0.0053128,2.09944E-07,0.040300127,0.993307982,1,1.164547988,0.866668848,0.904184663,1,1.101549505,1,1,1,1,0.848598018,1.028956973,0.92888847,0.399260802
25150,VCPKMT,-3.487222876,0.004486246,-0.709454811,5,VCPKMT,1,1,1,2.29308E-10,0.00314071,1,1,9.38846E-08,1,1,1,0.00170928,2.64928E-08,1,1,1,1,0.740455577,0.91735491,1,1,1.033410859,1,1,1,0.644647035,1.070964157,1,0.399260802
5460,DGKE,-3.485347567,0.004501777,-0.709265243,5,DGKE,1,1,1,9.99403E-13,0.027972191,0.007735872,1,1,1,1,1,0.002745577,1,0.007532896,1,1,1,0.850497379,0.945222848,0.972923801,1,1,1,1,1,0.858522727,1,1.034261423,0.399260802
20051,RPS11,3.483566317,0.00451658,0.70908504,7,RPS11,0.012391768,1,1,4.23096E-22,1.51351E-05,1,0.042022738,1.02857E-15,1,1,1,0.000556666,0.004667832,1,0.980107741,1,1,1.286034984,1.015745883,1,1.066713311,1.058254545,1,1,1,1.177646089,1.004931145,1,0.399260802
17661,PHF12,-3.53558612,0.004668781,-0.729329999,5,PHF12,0.004685512,1,NA,8.28253E-21,1,0.020220591,1,1,1,1,1,0.007409745,0.007598258,1,1.006985298,1,NA,0.858732195,1,0.984488722,1,1,1,1,1,0.889101186,1.023063802,1,0.399260802
