"","GeneID","TValue","PValue","Coefficient","sig.cnt","GeneID","AlzheimersPValue","AsthmaPValue","CADPValue","CKDPValue","CLDPValue","COPDPValue","EthnicityPValue","HIVPValue","HypPValue","LupusPValue","ObesePValue","ONDPValue","RAPValue","T1DPValue","AlzheimersFC","AsthmaFC","CADFC","CKDFC","CLDFC","COPDFC","EthnicityFC","HIVFC","HypFC","LupusFC","ObeseFC","ONDFC","RAFC","T1DFC","AdjP"
"6029","EBAG9",-4.01321338181541,0.00172032003948787,-0.75699610538279,6,"EBAG9",0.000000698237646672832,1,1,0.0000000000200815007160004,0.000452966721974319,1,1,0.0000224868375391369,1,1,1,0.0000505727949207962,0.0152182354360407,1,0.978255842655435,1,1,0.856011883500984,0.964273247172254,1,1,0.988323899688775,1,1,1,0.78769842914577,1.02222704574786,1,0.399260802353702
"17981","PLEKHM1",4.0060650734979,0.00174257807967306,0.756419532973215,5,"PLEKHM1",0.0000113853806683759,1,1,0.0000969439635518172,1,1,1,1,1,1,0.0268060153244475,0.0452386560118716,0.000434330680937002,1,1.01398824435995,1,1,1.08244299497235,1,1,1,1,1,1,1.01267210345696,1.08799532664784,0.982811502278791,1,0.399260802353702
"13495","LYRM1",-3.98555433994797,0.0018081082686478,-0.754755327722228,4,"LYRM1",1,1,1,0.000000000351726833471719,1,1,1,0.000638951320965091,1,1,1,0.0188945975412101,0.00000000000141352620250075,1,1,1,1,0.914015018982055,1,1,1,0.991849755946842,1,1,1,0.902384991517813,1.04180414228332,1,0.399260802353702
"24761","UBE2H",3.97524008946122,0.00184201719484467,0.753912901041083,6,"UBE2H",1,1,1,0.000000000000000000138388343907055,1,0.0173231224549076,1,0.000000306109823221726,1,1,0.0221865934521704,0.00308873017693443,0.000487170783451206,1,1,1,1,1.28246936503416,1,0.979479800314949,1,1.03476046023187,1,1,1.02470582654623,1.16430861665559,0.982446357891009,1,0.399260802353702
"25518","WWP1",-3.96734757389366,0.00186840708193774,-0.753265750167776,6,"WWP1",0.0000114093293138754,1,1,0.00000111047758297284,0.0236749057497079,1,1,0.0000000150508293957773,1,1,1,0.0310499898464054,0.00152934054375954,1,0.979214856403548,1,1,0.727959596654386,0.971705905737464,1,1,1.01592086380066,1,1,1,0.848099035151568,1.05104848569471,1,0.399260802353702
"8295","GOLGA8A",-4.54946176686534,0.00187570254742891,-0.849253240626969,7,"GOLGA8A",NA,0.029505811547046,1,0.000000000000348737038759754,0.00458833226965598,0.00445090985193069,NA,NA,1,NA,0.0154725310050791,0.00775787303697844,0.000000698395474661043,1,NA,0.984930485679764,1,0.78316328320129,0.897800345037332,0.961552057392948,NA,NA,1,NA,0.964924516254216,0.710646911878715,0.955265450856219,1,0.399260802353702
"19779","RNF138",-3.95992647957245,0.00189357644099239,-0.752655251432331,5,"RNF138",1,1,1,0.000000014061375538227,0.00000337938043145946,1,1,1,0.0474920219078259,1,1,0.010283421445067,0.000293869271900093,1,1,1,1,0.734194695423175,0.911010568367412,1,1,1,1.38767617484813,1,1,0.778761995149214,1.06655778395611,1,0.399260802353702
"1628","ATP5IF1",-4.05615940721559,0.00189556041846305,-0.774149120741516,8,"ATP5IF1",0.0000000713757950017287,1,1,0.00000000000000000000000301055401280625,0.000965580302350535,1,0.0240265930817503,0.00185595587867535,NA,1,1,0.0393259997215148,0.00000505182318165354,0.0318445919599503,0.981073510056787,1,1,0.815931618197598,0.884143277701615,1,1.17331753580693,0.985524908414903,NA,1,1,0.89820310402234,1.0307556729559,0.984128853923839,0.399260802353702
"13595","MAGEH1",-3.92620138292357,0.0020124393268725,-0.749856210443707,6,"MAGEH1",1,1,1,0.0000000000115735414136691,1,0.00293766648004035,1,0.00118163126553116,1,0.00146666643367063,1,0.0088921672613248,1,0.0248067463451297,1,1,1,0.878765664905263,1,0.97884900268255,1,0.989595193387006,1,1.06937182508627,1,0.834983110588926,1,0.963596797437325,0.399260802353702
"22395","SRP9",-3.91623321258057,0.00204902434279361,-0.749021101045004,6,"SRP9",0.000822909989923853,1,1,0.000000000409290228680401,0.00906309668842662,1,1,0.000000112073351664847,1,1,1,0.00571235535894278,0.0000916084862188192,1,0.977116160093017,1,1,0.799967727036985,1.02523040360171,1,1,0.983621053981952,1,1,1,0.907503272411877,1.03841860121025,1,0.399260802353702
"19926","RPAIN",-3.90357034848441,0.00209648961170703,-0.747955064346258,7,"RPAIN",0.00000000000138915944769254,1,1,0.0000000000000995653364492287,1,1,0.0282431122857352,0.00000161804486695167,1,1,1,0.0181269150155644,0.0004067707210516,0.0126993771242546,0.965104953480975,1,1,0.774591383667171,1,1,1.17086055945202,0.971839608967368,1,1,1,0.799212245994092,0.963308727252816,0.94557622302317,0.399260802353702
"13758","MARCHF7",-3.99128708108273,0.00211751118484128,-0.769115892764219,6,"MARCHF7",1,1,1,0.000000036462956241054,0.0000084244161425693,1,1,0.0139794753848697,NA,1,1,0.000393727014836699,0.000000924115620941608,0.0141611042546994,1,1,1,0.784616731751676,0.858889822861517,1,1,1.01120811758374,NA,1,1,0.830257406951174,1.03557507853578,0.957106968264088,0.399260802353702
"11146","LEMD3",-3.88793475412711,0.00215666411952523,-0.746630732170973,5,"LEMD3",0.0463525213148388,1,1,0.00000254742911274928,1,1,1,0.04015936450453,1,1,1,0.0158987473342016,0.0000382024455363699,1,0.987078886286836,1,1,0.876412845065966,1,1,1,1.00902001886996,1,1,1,0.887111384573314,1.03945590837506,1,0.399260802353702
"20602","SELENOH",-4.09351315680949,0.00216695904161483,-0.791368389681409,6,"SELENOH",1,1,NA,0.000000000604493338885417,0.00182561944394777,0.00701150138460837,1,1,NA,1,0.0484858858407837,0.029981469873699,0.000000527987168741037,1,1,1,NA,0.874282450401218,0.98325522389376,0.983691801622527,1,1,NA,1,1.01533761735851,0.90774708830635,1.03895702739427,1,0.399260802353702
"7878","GAS5",-5.12127941636637,0.00217550508155176,-0.902121729249385,5,"GAS5",NA,1,NA,0.000000000000000145984967009051,1,0.00035325963349924,NA,NA,NA,NA,1,0.0145129136653303,0.000034336585956174,0.000758727781302645,NA,1,NA,0.846796759894727,1,0.970258651363848,NA,NA,NA,NA,1,0.795540749507161,1.07221449256937,0.932917425099658,0.399260802353702
"7228","FBXW7",-3.87740072982327,0.00219820500810337,-0.745733467344526,5,"FBXW7",1,1,1,0.0000000000603281764462336,1,1,0.0215820989003386,0.00314558817490844,1,1,1,0.0347355178610855,0.00391627522790446,1,1,1,1,0.774043795762766,1,1,1.16490035939882,0.978602071004351,1,1,1,0.741118743866536,1.02484941202064,1,0.399260802353702
"15255","MTO1",-3.87587949649384,0.002204271686147,-0.745603555705909,6,"MTO1",0.00440870069946044,1,1,0.000000000000000547708299319306,0.0154819412687259,1,1,1,1,1,0.0162321828731317,0.0451429165469462,1,0.0306101553408608,0.990269803626182,1,1,0.798912736121777,0.960758021730373,1,1,1,1,1,0.974590368774056,0.761769911504425,1,0.975424646438054,0.399260802353702
"6787","FAM149B1",-4.08212859118381,0.00220683329457352,-0.790543683258925,5,"FAM149B1",NA,1,1,0.00000763749054035367,0.00769335421070137,NA,1,0.0328341346214526,1,1,1,0.000857748036751874,0.000045706172045216,1,NA,1,1,0.920682534931426,0.92156973725256,NA,1,0.991057359686125,1,1,1,0.904786375858978,1.04913601371611,1,0.399260802353702
"19146","RAB7A",-3.87148322621811,0.00222190104870495,-0.745227640752221,5,"RAB7A",1,1,1,0.00000000000000000000931785397585996,1,1,1,0.000000560433469134463,1,1,1,0.043350742719908,0.00173725824999104,0.0392461818637946,1,1,1,0.856443620270768,1,1,1,0.973016178307534,1,1,1,0.842413987591653,1.01313515299767,1.01562477354876,0.399260802353702
"20361","SART1",3.86268846084651,0.00225760547247109,0.744473482626844,6,"SART1",0.0270360084060118,1,1,0.0000000000000000316211272668579,1,0.027993926502485,1,0.00535812400188926,1,1,1,0.0348843331560274,0.000022443321206404,1,1.00339364702378,1,1,1.22296538318791,1,0.990873439132587,1,1.00469921559985,1,1,1,1.16874873660805,0.978331132082539,1,0.399260802353702
"10165","ITIH3",3.9306728270391,0.002349357928532,0.76428002241307,5,"ITIH3",1,1,1,0.0000287642166035907,0.0317375597985131,NA,1,0.000378941530646701,1,1,1,0.023789420751653,0.0479979820168986,1,1,1,1,1.0794409097219,1.0325648248959,NA,1,1.00785949112827,1,1,1,1.02669404517454,0.977760746492982,1,0.399260802353702
"20590","SEC62",-3.82811656371527,0.00240377645630277,-0.741481082427783,5,"SEC62",1,1,1,0.000000240728912858317,0.000000000760226540266547,1,1,1,1,1,0.0101052048486806,0.000585873038877677,0.000000200885025099078,1,1,1,1,0.795684244124657,0.83591161541412,1,1,1,1,1,1.01385997997229,0.833436503136599,1.06343979362712,1,0.399260802353702
"7226","FBXW7",-3.81231067320073,0.00247381199453585,-0.740098074014849,4,"FBXW7",1,1,1,0.0000000000603281764462336,1,1,1,0.00314558817490844,1,1,1,0.0347355178610855,0.00391627522790446,1,1,1,1,0.774043795762766,1,1,1,0.978602071004351,1,1,1,0.741118743866536,1.02484941202064,1,0.399260802353702
"13719","MAPK6",-3.81187496388901,0.00247577204465716,-0.740059816052364,4,"MAPK6",0.00359299372266334,1,1,0.00000307616088067789,1,1,1,1,1,1,1,0.0385436601247833,0.0000976972164885885,1,0.991254557072447,1,1,0.891245933504696,1,1,1,1,1,1,1,0.956541524459613,1.04724988912359,1,0.399260802353702
"14893","MOAP1",-3.79217446944539,0.00256608299345649,-0.738322461520441,4,"MOAP1",1,1,1,0.0000000000000000670489606781134,1,1,1,0.00983037964206995,1,1,0.0161266100944132,0.0265160285554532,1,1,1,1,1,0.837838661377585,1,1,1,0.987130017342563,1,1,0.974199829376752,0.872830665264856,1,1,0.399260802353702
"14182","MINDY3",-3.97325041858106,0.00262948948376416,-0.782434325728023,7,"MINDY3",0.0433827913476469,1,1,0.00000214665267762708,0.00379732534053222,NA,0.0490742466869659,0.000000242704702736296,NA,1,1,0.0172146498721673,0.000000386517486148113,1,0.993876362539642,1,1,0.863666273495279,0.953412831457217,NA,1.09409716072197,1.0242352974961,NA,1,1,0.84178376372024,1.07130959384584,1,0.399260802353702
"13409","LSM14A",-3.77722789584259,0.00263685368160405,-0.736994465494768,5,"LSM14A",0.0000047317971697327,1,1,0.0000000541584009227796,1,1,1,0.000683999309653325,1,1,1,0.00236428495213594,1,0.0166685949696621,0.980063276846534,1,1,0.877458030809915,1,1,1,0.989704713228475,1,1,1,0.825512758117222,1,0.984159630866073,0.399260802353702
"839","AMY1A",-3.8484757628121,0.00270661344049352,-0.757509897377658,4,"AMY1A",NA,1,1,0.000000000000101333490207438,0.0000475244846033032,1,1,0.00463528761966502,1,1,1,0.0105825880741007,1,1,NA,1,1,0.757207009414956,0.757189979254814,1,1,0.995386066994205,1,1,1,0.73521007692958,1,1,0.399260802353702
"25405","WDR74",3.74584998518894,0.00279201763343887,0.734178536097027,5,"WDR74",1,1,1,0.00000000239803821520261,1,0.000789468114110178,1,0.000000000865017678409536,1,1,1,0.00321933260123302,0.0069966565610352,1,1,1,1,1.13276673527105,1,0.981187518959428,1,1.03258188571349,1,1,1,1.18498608565805,0.986760039903831,1,0.399260802353702
"16215","NRIP1",-3.73824221687028,0.00283102971673045,-0.733490033117109,4,"NRIP1",1,1,1,0.000000013757722358303,0.00525546436614968,1,1,1,1,1,1,0.0103871370611192,0.0102393810860947,1,1,1,1,0.80791981128276,0.94734459509047,1,1,1,1,1,1,0.747402474792613,1.02712424743761,1,0.399260802353702
"24637","TUBE1",-3.81344787720422,0.00287555419854442,-0.754548384907413,6,"TUBE1",1,1,NA,0.0000000089613437262318,0.00000285205646485248,0.0164695675239164,1,0.0000000312780336023926,1,1,1,0.0150011374347122,0.0113657265075111,1,1,1,NA,0.698825045480383,0.83789576244656,0.970415145716599,1,1.01066427616847,1,1,1,0.760758457833579,1.05480095191986,1,0.399260802353702
"10735","KLK4",3.9125871667796,0.00290106557104847,0.777736014526317,5,"KLK4",1,1,NA,0.0000000000000195902527582085,0.0237125872241956,NA,1,1,1,1,1,0.0184638397662039,0.0128278750607016,0.00144304405602336,1,1,NA,1.13180115347643,1.05720097127768,NA,1,1,1,1,1,1.1363696369637,0.986645475777431,1.05702718122035,0.399260802353702
"15865","NFU1",-3.72082451846965,0.00292246546841965,-0.731905188942926,6,"NFU1",0.0000000372198686978737,1,1,0.00000154297433705095,0.000434809072545578,1,1,0.00000527930003608184,1,1,1,0.0365905031437693,0.0000000176613638799818,1,0.978861580922252,1,1,0.866712588291633,1.04337274417724,1,1,0.983949002940026,1,1,1,0.885484781381616,1.07246142679011,1,0.399260802353702
"5409","DENND4A",-3.71976714886521,0.00292811276586205,-0.731808594052496,5,"DENND4A",1,1,1,0.0000000862795964943305,1,1,1,0.00000087723780254542,1,0.00247183411753575,1,0.00288719138469766,0.00952619686634747,1,1,1,1,0.66642802815779,1,1,1,1.02547259919231,1,1.06838115109184,1,0.830362840394747,1.04138218652044,1,0.399260802353702
"20011","RPL38",3.71974049869365,0.00292825524600606,0.731806158884054,5,"RPL38",1,1,1,0.000000000000000117656510549452,0.000000348524211133604,0.00167228256813441,1,0.0000010078794070551,1,1,1,0.00221509196461011,1,1,1,1,1,1.12886682792195,1.03771713814929,0.997410248014598,1,0.996079007227202,1,1,1,1.13760025288474,1,1,0.399260802353702
"19925","RPAIN",-3.71736649254135,0.00294097598165228,-0.731589120764996,7,"RPAIN",0.00000000000138915944769254,1,1,0.0000000000000995653364492287,1,1,0.00378867206137091,0.00000161804486695167,1,1,1,0.0181269150155644,0.0004067707210516,0.0126993771242546,0.965104953480975,1,1,0.774591383667171,1,1,1.19866093750541,0.971839608967368,1,1,1,0.799212245994092,0.963308727252816,0.94557622302317,0.399260802353702
"13953","MED30",-3.79943405454765,0.00294616831272366,-0.753350483540942,7,"MED30",0.0134778677813351,1,NA,0.0000000000044761407442116,0.000809671088372837,1,1,0.00281656424787363,1,1,1,0.0000422128613646516,0.000000000000160695002855571,0.0117257627362562,0.991626220161021,1,NA,0.878202976136644,0.883900355582748,1,1,0.988040648802068,1,1,1,0.808610642295322,1.05468942304248,0.967634047764733,0.399260802353702
"26061","ZNF33A",-3.89157013491263,0.00300187683375774,-0.776077210467264,6,"ZNF33A",0.0109786416841607,1,NA,0.0000000000989320161737915,0.00439150902733937,1,1,0.0038249774846174,NA,1,1,0.0393627478847851,0.00054016985341381,1,0.994858529634731,1,NA,0.870533883049409,0.938545567989091,1,1,1.00522006407837,NA,1,1,0.88000103347156,1.02252601621311,1,0.399260802353702
"9309","HNRNPH3",-3.70594461059539,0.00300297481130914,-0.730541784096373,8,"HNRNPH3",0.0432525157770204,1,1,0.000000000591257671504332,0.000132346951040711,1,0.0204458064778203,0.00000000000387342589770088,1,1,0.0240172940184646,0.000294545222292625,0.00016230880184795,1,0.989729625376709,1,1,0.81999661067471,0.950033760702532,1,1.14570060038539,1.01599380092384,1,1,0.991996796524307,0.756607177623467,1.03487215088433,1,0.399260802353702
"2293","C11orf95",3.78834311561121,0.00300332541932211,0.752397083181189,4,"C11orf95",1,1,1,0.000181602791055427,1,NA,1,0.00447176621972764,1,1,1,0.0206497736169578,0.000601130922687967,1,1,1,1,1.05130376890279,1,NA,1,1.00577884531314,1,1,1,1.06179401993355,0.972943002990248,1,0.399260802353702
"19443","RCN3",3.77185072807127,0.00309044892899519,0.750970568064448,5,"RCN3",0.00105431877551244,1,1,0.00000000000000543752081942761,0.0400235997265098,NA,1,1,1,1,1,0.0233143711475317,1,0.0296104831856425,1.00873529105491,1,1,1.11123101974301,1.10295392163644,NA,1,1,1,1,1,1.13388429752066,1,1.03762080841538,0.399260802353702
"18428","PPWD1",-3.68745545636749,0.00310618829031551,-0.728835416537367,5,"PPWD1",0.0000000260241076713587,1,1,0.0000000000446252727841455,1,1,1,0.00000000710589050862289,1,1,1,0.0368673533315965,0.0114968059155724,1,0.980250138393767,1,1,0.76510757317242,1,1,1,1.02213809210976,1,1,1,0.802716755675173,1.03327312342288,1,0.399260802353702
"26192","ZNF529",-3.66961135829347,0.00320924769800906,-0.727175601433926,5,"ZNF529",0.0402005283408021,1,1,0.000000000000000014584755176379,1,0.00866391987915657,1,1,1,1,0.0471165507891352,0.0161278264148527,1,1,0.993629737138754,1,1,0.735936634275192,1,0.973024513760463,1,1,1,1,0.97847927135946,0.775598474904682,1,1,0.399260802353702
"4786","CSPP1",-3.65568098878055,0.00329213206434173,-0.725870903481777,7,"CSPP1",0.0365361864617082,1,1,0.00000000549734109954923,1,1,1,0.0000286011275058641,0.0422668259715816,1,0.0157458995084273,0.00254754109781723,0.000119913291211271,1,0.995951257612645,1,1,0.679139037210316,1,1,1,1.00840902547488,1.28914108945578,1,0.940410863118615,0.625636878285483,0.961009448741726,1,0.399260802353702
"20391","SC5D",-3.654691968225,0.00329809929458835,-0.725777974169775,6,"SC5D",0.00885263075570137,1,1,0.00142702754834669,0.000226471150247119,1,1,0.000294470961725638,1,1,1,0.00757640552017411,0.000000596926627567621,1,0.992084086007142,1,1,0.911407787460714,0.904841925510757,1,1,0.980782650055312,1,1,1,0.837497113830524,1.0942992716655,1,0.399260802353702
"1950","BEGAIN",3.72172581383315,0.00337163928595248,0.746569625404239,4,"BEGAIN",0.0352001148805089,1,1,0.00229149541230905,1,NA,1,0.000000635835789506407,1,1,1,0.0423602970148884,1,1,1.00274616954824,1,1,1.05888936810772,1,NA,1,1.02637654785197,1,1,1,1.09302915082383,1,1,0.399260802353702
"4947","CUTC",-3.63250540451519,0.00343490969463021,-0.723682823068011,7,"CUTC",0.00000010476176673056,1,1,0.000000259567783503641,0.000015008756852521,1,0.0141527226653057,0.000614363194254077,1,1,1,0.00787170762088272,0.0000000304843583109062,1,0.979511666899678,1,1,0.907925458463706,0.90478521651044,1,1.14127874786845,0.982156170457558,1,1,1,0.880197965356063,1.04396702433306,1,0.399260802353702
"18769","PSMA2",-3.6302089302452,0.00344939818932249,-0.723464808996813,5,"PSMA2",0.00000000768109336646889,1,1,0.00288906752884093,0.00062071383397515,1,1,1,1,1,1,0.00394508712738805,0.00000000000783166370578398,1,0.977665019954572,1,1,0.923948929789137,0.928775412171655,1,1,1,1,1,1,0.879988836560265,1.08936484221989,1,0.399260802353702
"18632","PRPS1",-3.61719005967579,0.00353272392423537,-0.722224769959493,7,"PRPS1",0.000984958335664143,1,1,0.00000000732109428593069,0.000651321906930344,0.00678332436774882,1,0.0498653624960435,1,1,1,0.0492284351739577,1,0.0102025731183917,0.991072813489324,1,1,0.934253932224307,0.922639771335896,0.986778089387472,1,0.99469414355492,1,1,1,0.87950123436127,1,0.97387280091367,0.399260802353702
"2274","C11orf54",-3.69418719640706,0.00353724936624625,-0.744109241751167,6,"C11orf54",1,1,NA,0.00000000294657942493167,0.000570535547172762,1,1,0.0137519203921044,1,1,0.039934058431927,0.00602794009592368,0.0000000108737085155575,1,1,1,NA,0.886097580631521,0.941451332950061,1,1,0.99216523097611,1,1,0.972717238580388,0.843620606644198,1.07198987012333,1,0.399260802353702
"18294","PPIA",3.58671312369636,0.00373592805431579,0.719294401903104,9,"PPIA",0.0000000279015573774395,0.0334171661287128,1,0.0000000000114092406443675,0.0000000630083696601217,0.00145383702344376,1,0.000000000000000000969005434410407,1,1,1,0.000479031974111484,0.000000000937898671520447,0.0084242566353219,0.954336666467075,0.961550498729954,1,1.14034584377719,1.07061939993268,0.98587025508425,1,1.11548634215974,1,1,1,1.1165796214445,1.01768624855489,0.993891224781777,0.399260802353702
"9009","HELQ",-3.65655157509348,0.00377726486761271,-0.740697104940633,7,"HELQ",0.00733180598869247,1,NA,0.0000000000433974530319409,0.000023645984834611,0.0397180135208338,1,0.00400381093001953,1,1,1,0.0323917065176767,0.0000126021935550982,1,0.992613195378193,1,NA,0.824346205597548,0.895987786991362,0.983591086528807,1,1.0081468723702,1,1,1,0.910008451044307,1.05394510681933,1,0.399260802353702
"25754","ZCCHC2",-3.57872353158949,0.00379114767380384,-0.718519784960269,5,"ZCCHC2",1,1,1,0.0000106866770653493,0.00655826745617282,1,1,0.0000000000000298502170600003,1,1,1,0.00728013898496057,0.00865140125046948,1,1,1,1,0.87532695432065,0.906322119628,1,1,1.01535385329404,1,1,1,0.85035765379113,1.05782873760145,1,0.399260802353702
"20345","SAP18",-3.57689823903409,0.00380387960666917,-0.71834244074603,7,"SAP18",0.0000708441917021965,0.0476071612462374,1,0.000000571894020697763,0.00000610238175642456,1,1,0.0000128998514992809,1,1,1,0.0113831266904011,0.00455596701777221,1,0.991094065264435,0.994782342959621,1,0.90479804530614,1.02969634311023,1,1,0.97184611256456,1,1,1,0.87213215678227,1.02000962066585,1,0.399260802353702
"6037","EBLN3P",-4.56806189685273,0.00381828034335613,-0.881294096087499,5,"EBLN3P",NA,1,NA,0.00000000000090085093332865,0.0120289882728372,1,NA,NA,NA,NA,0.0312346629655603,0.000639748920177898,0.000779571444500869,1,NA,1,NA,0.744940745392434,0.964551099813895,1,NA,NA,NA,NA,0.966720492076911,0.810160188908035,0.980717415035676,1,0.399260802353702
"21603","SMIM4",3.86266160984459,0.00383145836406335,0.789777343911976,5,"SMIM4",NA,1,NA,0.000000000000021287417789383,0.0297315529191576,NA,1,0.0000000124683832721531,1,1,1,0.00835442634006756,0.0131361450389016,1,NA,1,NA,1.20021110696868,1.04350619436693,NA,1,1.01010230231354,1,1,1,1.20503899220156,1.02062057157899,1,0.399260802353702
"15671","NDFIP1",-3.56582558267977,0.00388205570975892,-0.717263620867658,5,"NDFIP1",1,1,1,0.0000000000000000266457597240057,0.000217639624302685,1,1,1,1,1,0.0246385178708749,0.00819750641942917,0.0016715729081821,1,1,1,1,0.809798919163242,0.939738102652019,1,1,1,1,1,0.965441129630199,0.73095672359476,1.01677748863811,1,0.399260802353702
